country,region,region_regime,regime_binary,predictor,outcome,outcome_label,corr,p_value,sig,n_pairwise,n_eff
Greece,West,Western democracies,Democracy,democracy_rights_liberal,civic_membership,Civic national membership,-0.1574032129236835,5.601899468081157e-05,***,1437,649.5326379626933
Greece,West,Western democracies,Democracy,democracy_rights_liberal,national_superiority,National superiority and unconditional support,-0.2030316160153499,1.8550319861211653e-07,***,1436,648.1380742435873
Greece,West,Western democracies,Democracy,democracy_rights_liberal,nation_state_self_determination,Every nation should have its own state,-0.1403530072639883,0.0005189617002680282,***,1350,607.9736271371141
Greece,West,Western democracies,Democracy,democracy_rights_liberal,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.057904203470969216,0.14100903239598966,,1436,647.6965017074003
Greece,West,Western democracies,Democracy,democracy_rights_liberal,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.26639049187927977,5.087636483829657e-12,***,1438,649.887396073475
Greece,West,Western democracies,Democracy,democracy_rights_liberal,national_pride_non_democracy,"National pride, excluding pride in democracy",-0.08146342830152696,0.03758489400179151,*,1442,651.860426961939
Greece,West,Western democracies,Democracy,democracy_rights_liberal,pride_democracy,Pride in the way democracy works,-0.18669977015321762,1.6132326605722796e-06,***,1413,651.0001060260231
Greece,West,Western democracies,Democracy,democracy_works_today,ascriptive_membership,Closed/ascriptive national membership,0.10975661798397374,0.004888503435646291,**,1437,656.0018955441244
Greece,West,Western democracies,Democracy,democracy_works_today,civic_membership,Civic national membership,0.2204491340462482,1.1454860580249697e-08,***,1436,656.4174225364911
Greece,West,Western democracies,Democracy,democracy_works_today,national_superiority,National superiority and unconditional support,0.21369229763797776,3.956466922568966e-08,***,1435,647.9995599743551
Greece,West,Western democracies,Democracy,democracy_works_today,nation_state_self_determination,Every nation should have its own state,-0.08152367176206404,0.045151230395063545,*,1354,604.3000007803134
Greece,West,Western democracies,Democracy,democracy_works_today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.2568811423783512,3.06536227097498e-11,***,1437,649.0087418110891
Greece,West,Western democracies,Democracy,democracy_works_today,anti_immigrant_exclusion,Anti-immigrant exclusion,0.005094852054188615,0.8968194301402371,,1437,650.3561357287055
Greece,West,Western democracies,Democracy,democracy_works_today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.4732762658223428,9.111839885701775e-38,***,1443,653.1755040683508
Greece,West,Western democracies,Democracy,democracy_works_today,pride_democracy,Pride in the way democracy works,0.756892167780658,3.503494226523424e-121,***,1417,646.5861748844687
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_rights_liberal,ascriptive_membership,Closed/ascriptive national membership,-0.04032904633304326,0.19209039466746555,,1392,1047.8110700162465
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_rights_liberal,civic_membership,Civic national membership,0.20740711733903125,1.2224725443104685e-11,***,1391,1047.1764121461736
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_rights_liberal,national_superiority,National superiority and unconditional support,-0.050878425083130806,0.10053705583459673,,1386,1043.0221795418302
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_rights_liberal,nation_state_self_determination,Every nation should have its own state,0.0609804144413713,0.04981109571108325,*,1375,1035.3175681329753
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_rights_liberal,protective_sovereignty,Protectionist/sovereigntist nationalism,0.16079896678864403,1.7062785245477543e-07,***,1390,1046.158586148429
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_rights_liberal,anti_immigrant_exclusion,Anti-immigrant exclusion,0.004109942890968099,0.8942880903323297,,1392,1047.8110700162465
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_rights_liberal,national_pride_non_democracy,"National pride, excluding pride in democracy",0.08912568115232958,0.004012402070467705,**,1382,1040.5040767469209
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_rights_liberal,pride_democracy,Pride in the way democracy works,-0.08011459326952908,0.01045691513552888,*,1355,1020.564085461113
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_works_today,ascriptive_membership,Closed/ascriptive national membership,0.05439225004087131,0.07931295065452801,,1384,1041.6582243221508
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_works_today,civic_membership,Civic national membership,0.09308549424579038,0.002644347499803551,**,1383,1041.0236948748222
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_works_today,national_superiority,National superiority and unconditional support,0.19919759149690197,9.704818439313709e-11,***,1378,1036.8699702314934
