group,group_label,predictor,predictor_label,outcome,outcome_label,within_country_weighted_corr,p_value,sig,formatted_corr,n_eff,pairwise_n,median_country_corr,mean_country_corr,n_negative,n_positive,n_countries,adjusted_wls_beta,adjusted_model_n
non_democracies,All non-democracies,democracy_works_today,Perceived performance of democracy today,nation_state_self_determination,Every nation should have its own state,0.018945274236040185,0.18559499772928362,,0.02,4883.565099641396,6905,0.03294431942494254,0.014957729912460244,1,4,5,0.0056548254009682886,5882
non_democracies,All non-democracies,democracy_works_today,Perceived performance of democracy today,protective_sovereignty,Protectionist/sovereigntist nationalism,0.09069156431129503,1.0395369617495599e-10,***,0.09***,5057.080866344804,7167,0.09342660956786243,0.07722188087114251,1,4,5,0.031421720378502105,6045
non_democracies,All non-democracies,democracy_works_today,Perceived performance of democracy today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.023146652420720868,0.10021263691434973,,-0.02,5044.672418336403,7153,-0.08710463361140143,-0.03270303852646213,3,2,5,-0.036679103209998676,6035
non_democracies,All non-democracies,democracy_works_today,Perceived performance of democracy today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.31400101574577155,5.630458459342479e-116,***,0.31***,5050.801280020556,7156,0.2168329827522302,0.30176550575146355,0,5,5,0.2183455383809596,6035
non_democracies,All non-democracies,democracy_works_today,Perceived performance of democracy today,pride_democracy,Pride in the way democracy works,0.4147915853147821,8.174817536162416e-204,***,0.41***,4917.4354309681885,6930,0.3219465677036688,0.38579849102299185,0,5,5,0.4247688569070882,5855
western_democracies,Western democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",ascriptive_membership,Closed/ascriptive national membership,-0.14799624255509822,3.74344608309775e-70,***,-0.15***,14159.08026661769,22811,-0.16000602658776775,-0.14748774406449075,14,1,15,-0.11169762083442514,19729
western_democracies,Western democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",civic_membership,Civic national membership,-0.12017229197450387,1.2567143723771856e-46,***,-0.12***,14135.885930580185,22766,-0.12434565523107446,-0.1199060685209056,14,1,15,-0.06529940888168184,19697
western_democracies,Western democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",national_superiority,National superiority and unconditional support,-0.13880050312752307,1.3266780802224332e-61,***,-0.14***,14101.553660503572,22704,-0.13848028221203246,-0.13862965046286135,15,0,15,-0.09595552522144501,19655
western_democracies,Western democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",nation_state_self_determination,Every nation should have its own state,-0.03819178203373793,1.2310717143453255e-05,***,-0.04***,13097.50805584953,21138,-0.019705128810150515,-0.03468099406620474,11,4,15,0.0044858329712837985,18434
western_democracies,Western democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",protective_sovereignty,Protectionist/sovereigntist nationalism,-0.06820026672512365,4.683465252299894e-16,***,-0.07***,14143.099950485052,22787,-0.08769331799879432,-0.06638583235874101,11,4,15,-0.013246912455986859,19712
western_democracies,Western democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",anti_immigrant_exclusion,Anti-immigrant exclusion,-0.22848403952038296,3.218964014075977e-167,***,-0.23***,14170.360009986838,22828,-0.2505110026417798,-0.22312796789540942,14,1,15,-0.16646981647950554,19746
western_democracies,Western democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",national_pride_non_democracy,"National pride, excluding pride in democracy",-0.025626411479677254,0.0023954122681148194,**,-0.03**,14035.696867682957,22631,-0.022129938164682974,-0.02703559764152796,10,5,15,0.005118928046361049,19621
western_democracies,Western democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",pride_democracy,Pride in the way democracy works,-0.04412544929112538,2.0579739980926707e-07,***,-0.04***,13844.739440303021,22032,-0.028325538301489584,-0.04238465498688596,11,4,15,-0.055363721930877574,19250
western_democracies,Western democracies,democracy_works_today,Perceived performance of democracy today,ascriptive_membership,Closed/ascriptive national membership,-0.04773002843150985,1.8217522074877125e-08,***,-0.05***,13890.812321295149,22308,-0.07863389265616544,-0.0594110848492435,12,3,15,-0.04480650167727518,19469
western_democracies,Western democracies,democracy_works_today,Perceived performance of democracy today,civic_membership,Civic national membership,0.1472377472335117,4.722144935052537e-68,***,0.15***,13866.935326736726,22263,0.1321611723129312,0.1433671704635073,0,15,15,0.10231825254312454,19434
western_democracies,Western democracies,democracy_works_today,Perceived performance of democracy today,national_superiority,National superiority and unconditional support,0.15659078987349803,1.397924602468301e-76,***,0.16***,13819.603485268379,22210,0.14913467305042358,0.15166064584464536,0,15,15,0.14434316642116052,19398
western_democracies,Western democracies,democracy_works_today,Perceived performance of democracy today,nation_state_self_determination,Every nation should have its own state,-0.05886616363367165,2.3692222061383514e-11,***,-0.06***,12862.164912493623,20742,-0.043758702853942726,-0.05719973088929964,13,2,15,-0.06893303914409188,18219
western_democracies,Western democracies,democracy_works_today,Perceived performance of democracy today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.1847115293983463,1.1136462906195208e-106,***,-0.18***,13867.250843754771,22298,-0.1786423031584776,-0.1844922349773272,15,0,15,-0.11858118323628464,19462
western_democracies,Western democracies,democracy_works_today,Perceived performance of democracy today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.22225196335850092,5.642978209992803e-155,***,-0.22***,13886.491068905814,22332,-0.23299133372968256,-0.2302109523847871,14,1,15,-0.17881422795576896,19492
western_democracies,Western democracies,democracy_works_today,Perceived performance of democracy today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.3870456166560566,0.0,***,0.39***,13775.127845985202,22174,0.3895535752019533,0.3822146908938651,0,15,15,0.28798530390822474,19381
western_democracies,Western democracies,democracy_works_today,Perceived performance of democracy today,pride_democracy,Pride in the way democracy works,0.6656800231327026,0.0,***,0.67***,13635.93632142948,21738,0.6623615745175968,0.6588601723607492,0,15,15,0.7387762689664923,19074
east_europe_democracies,Eastern Europe democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",ascriptive_membership,Closed/ascriptive national membership,-0.013305112711489365,0.41322090292330954,,-0.01,3784.177288481264,4679,-0.039346898244493764,-0.007793993035162067,3,1,4,-0.02705850986884073,3885
east_europe_democracies,Eastern Europe democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",civic_membership,Civic national membership,0.11915328704093577,2.0219199820322117e-13,***,0.12***,3777.758160182973,4672,0.10034276779909541,0.10639733991519065,0,4,4,0.13206855938711115,3881
east_europe_democracies,Eastern Europe democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",national_superiority,National superiority and unconditional support,-0.01403705999363309,0.38845195631652424,,-0.01,3776.9244671338806,4670,-0.040735935967310816,-0.010216728081846798,3,1,4,-0.03506312256260813,3875
east_europe_democracies,Eastern Europe democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",nation_state_self_determination,Every nation should have its own state,0.10721211210560404,7.495184229879702e-11,***,0.11***,3668.7267299580108,4545,0.12145425124736006,0.11189162946380163,0,4,4,0.12914487635648975,3809
east_europe_democracies,Eastern Europe democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",protective_sovereignty,Protectionist/sovereigntist nationalism,0.03556597696338906,0.028755082937880906,*,0.04*,3780.6998954939913,4674,0.07030254008333296,0.0440257735476588,2,2,4,0.027989429781690944,3883
east_europe_democracies,Eastern Europe democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",anti_immigrant_exclusion,Anti-immigrant exclusion,-0.09285266760910525,1.0494326663310714e-08,***,-0.09***,3784.398793563431,4679,-0.0638421732481373,-0.09042769914347891,3,1,4,-0.09243834050449173,3886
east_europe_democracies,Eastern Europe democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",national_pride_non_democracy,"National pride, excluding pride in democracy",0.12941109657825248,1.5016867969380113e-15,***,0.13***,3769.9949719482483,4661,0.13928147345103808,0.13257251588501584,0,4,4,0.11544342602767799,3874
east_europe_democracies,Eastern Europe democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",pride_democracy,Pride in the way democracy works,0.011064193082942401,0.5030054956342969,,0.01,3666.7332777493793,4539,0.017188719879674293,0.013075744565112664,2,2,4,-0.0011333737141558942,3801
east_europe_democracies,Eastern Europe democracies,democracy_works_today,Perceived performance of democracy today,ascriptive_membership,Closed/ascriptive national membership,0.006533510583029903,0.6902713671445018,,0.01,3722.3503233660986,4606,0.04067087357602435,0.007152695832456363,1,3,4,-0.0013479329122958461,3859
east_europe_democracies,Eastern Europe democracies,democracy_works_today,Perceived performance of democracy today,civic_membership,Civic national membership,0.08398269927584201,2.9579126982666104e-07,***,0.08***,3714.9439968972447,4598,0.09984601349193761,0.08443352477759339,1,3,4,0.07524225220565661,3854
east_europe_democracies,Eastern Europe democracies,democracy_works_today,Perceived performance of democracy today,national_superiority,National superiority and unconditional support,0.20160458665719755,2.2148804453415128e-35,***,0.20***,3716.061779217372,4598,0.19716413011077652,0.1999005553473869,0,4,4,0.18014217621447504,3850
east_europe_democracies,Eastern Europe democracies,democracy_works_today,Perceived performance of democracy today,nation_state_self_determination,Every nation should have its own state,0.003008981812006363,0.8565301046997361,,0.00,3612.6216772892076,4478,-0.010776239614042086,-0.0014820089388683528,3,1,4,0.01428790755489917,3784
east_europe_democracies,Eastern Europe democracies,democracy_works_today,Perceived performance of democracy today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.050858477370298104,0.0019230325312535148,**,-0.05**,3717.4913896988614,4599,-0.03004852973892511,-0.05214364426444593,2,2,4,-0.015887872770753653,3856
east_europe_democracies,Eastern Europe democracies,democracy_works_today,Perceived performance of democracy today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.19569315090759457,1.8814848268628554e-33,***,-0.20***,3722.5724034323503,4606,-0.18978107474943112,-0.19421648864917893,4,0,4,-0.14116542961935874,3860
