country,region,region_regime,regime_binary,predictor,outcome,outcome_label,slope,se,p_value,sig,formatted_slope,model_n
Finland,West,Western democracies,Democracy,democracy_rights_liberal,national_pride_non_democracy,"National pride, excluding pride in democracy",0.060490039656802,0.031874610501292526,0.057976480604690184,,0.06,1169
Finland,West,Western democracies,Democracy,democracy_rights_liberal,pride_democracy,Pride in the way democracy works,0.005272624958685412,0.049074621027094235,0.9144579089191974,,0.01,1155
Finland,West,Western democracies,Democracy,democracy_works_today,ascriptive_membership,Closed/ascriptive national membership,-0.1296291383588022,0.03538679050342822,0.0002604947960889253,***,-0.13***,1148
Finland,West,Western democracies,Democracy,democracy_works_today,civic_membership,Civic national membership,0.13641848233381282,0.035764546818764884,0.00014387652886943553,***,0.14***,1144
Finland,West,Western democracies,Democracy,democracy_works_today,national_superiority,National superiority and unconditional support,0.16647802572088644,0.032113628942011786,2.567523701823621e-07,***,0.17***,1145
Finland,West,Western democracies,Democracy,democracy_works_today,nation_state_self_determination,Every nation should have its own state,-0.05693465301737888,0.041609048586252036,0.17149426585832647,,-0.06,1090
Finland,West,Western democracies,Democracy,democracy_works_today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.12693211387874648,0.025233292685167538,5.684486287377187e-07,***,-0.13***,1145
Finland,West,Western democracies,Democracy,democracy_works_today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.23973559901184416,0.03321099724252139,9.574039590965567e-13,***,-0.24***,1146
Finland,West,Western democracies,Democracy,democracy_works_today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.2960752517344094,0.025275534715551863,5.263234259774789e-30,***,0.30***,1145
Finland,West,Western democracies,Democracy,democracy_works_today,pride_democracy,Pride in the way democracy works,0.7760763545005176,0.03080206917678458,1.5868505522329542e-111,***,0.78***,1136
France,West,Western democracies,Democracy,democracy_rights_liberal,ascriptive_membership,Closed/ascriptive national membership,-0.2166371891965877,0.04585334475659719,2.4929281489725305e-06,***,-0.22***,1731
France,West,Western democracies,Democracy,democracy_rights_liberal,civic_membership,Civic national membership,-0.10902554021321365,0.03408269258622782,0.0014048188570687124,**,-0.11**,1730
France,West,Western democracies,Democracy,democracy_rights_liberal,national_superiority,National superiority and unconditional support,-0.13598240811514373,0.04034445353019651,0.0007668127400483171,***,-0.14***,1727
France,West,Western democracies,Democracy,democracy_rights_liberal,nation_state_self_determination,Every nation should have its own state,-0.03642561107227138,0.045346195841117924,0.4219289496173032,,-0.04,1666
France,West,Western democracies,Democracy,democracy_rights_liberal,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.0030762947995111034,0.03400761458773928,0.9279329880144921,,-0.00,1729
France,West,Western democracies,Democracy,democracy_rights_liberal,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.2063594751244633,0.04042227082850699,3.672448775488578e-07,***,-0.21***,1728
France,West,Western democracies,Democracy,democracy_rights_liberal,national_pride_non_democracy,"National pride, excluding pride in democracy",-0.09362785234607429,0.04143264764791955,0.023961283515062364,*,-0.09*,1719
France,West,Western democracies,Democracy,democracy_rights_liberal,pride_democracy,Pride in the way democracy works,-0.2537578314294304,0.05977918888419884,2.3097311625515146e-05,***,-0.25***,1639
France,West,Western democracies,Democracy,democracy_works_today,ascriptive_membership,Closed/ascriptive national membership,-0.06613131037547504,0.028486866788390356,0.020378686162925635,*,-0.07*,1716
France,West,Western democracies,Democracy,democracy_works_today,civic_membership,Civic national membership,0.04491354887097909,0.021740895369267474,0.03899253948422901,*,0.04*,1715
France,West,Western democracies,Democracy,democracy_works_today,national_superiority,National superiority and unconditional support,0.11684849915592377,0.025783568995321172,6.251695435134299e-06,***,0.12***,1713
France,West,Western democracies,Democracy,democracy_works_today,nation_state_self_determination,Every nation should have its own state,-0.07725653742031646,0.030802240583776615,0.01223217162449591,*,-0.08*,1652
France,West,Western democracies,Democracy,democracy_works_today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.13831369378888958,0.018750639182163048,2.5234311494328846e-13,***,-0.14***,1714
France,West,Western democracies,Democracy,democracy_works_today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.19311041271496077,0.024054893651639618,1.8281019422850542e-15,***,-0.19***,1713
France,West,Western democracies,Democracy,democracy_works_today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.3116743932245045,0.02093189266168333,3.166518489933028e-47,***,0.31***,1706
France,West,Western democracies,Democracy,democracy_works_today,pride_democracy,Pride in the way democracy works,0.7248026056520991,0.025231293176817944,4.207383967727923e-147,***,0.72***,1631
Greece,West,Western democracies,Democracy,democracy_rights_liberal,ascriptive_membership,Closed/ascriptive national membership,-0.12894480257765828,0.08386668767215551,0.1244283587198178,,-0.13,1238
Greece,West,Western democracies,Democracy,democracy_rights_liberal,civic_membership,Civic national membership,-0.06457096594460054,0.05821636961966975,0.2675798664294457,,-0.06,1238
Greece,West,Western democracies,Democracy,democracy_rights_liberal,national_superiority,National superiority and unconditional support,-0.05737166688959228,0.05686967925868006,0.31325619221809126,,-0.06,1235
Greece,West,Western democracies,Democracy,democracy_rights_liberal,nation_state_self_determination,Every nation should have its own state,-0.13491670741202455,0.06502802752074445,0.0382281733728554,*,-0.13*,1176
Greece,West,Western democracies,Democracy,democracy_rights_liberal,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.03295199027019535,0.046568107406578775,0.47932266011067537,,-0.03,1234
Greece,West,Western democracies,Democracy,democracy_rights_liberal,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.17702202770962927,0.050833642961037845,0.0005144003352403578,***,-0.18***,1237
Greece,West,Western democracies,Democracy,democracy_rights_liberal,national_pride_non_democracy,"National pride, excluding pride in democracy",0.04589819062001865,0.0655708967520389,0.4840729281331081,,0.05,1240
Greece,West,Western democracies,Democracy,democracy_rights_liberal,pride_democracy,Pride in the way democracy works,-0.14087295689648904,0.07952510036366277,0.07674004760698981,,-0.14,1222
Greece,West,Western democracies,Democracy,democracy_works_today,ascriptive_membership,Closed/ascriptive national membership,-0.026560414527284748,0.039961460405047264,0.5063980852731564,,-0.03,1240
Greece,West,Western democracies,Democracy,democracy_works_today,civic_membership,Civic national membership,0.03872957727716275,0.02669277863417377,0.14705116357086587,,0.04,1240
Greece,West,Western democracies,Democracy,democracy_works_today,national_superiority,National superiority and unconditional support,0.0423563607266042,0.037369426508209604,0.2572463771024237,,0.04,1236
Greece,West,Western democracies,Democracy,democracy_works_today,nation_state_self_determination,Every nation should have its own state,-0.15459497897089047,0.03903593389145704,7.93544866591523e-05,***,-0.15***,1179
Greece,West,Western democracies,Democracy,democracy_works_today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.19709680245995598,0.023615073848531388,1.8724798895048183e-16,***,-0.20***,1237
Greece,West,Western democracies,Democracy,democracy_works_today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.12675817286713587,0.030166963397149048,2.837726019044075e-05,***,-0.13***,1239
Greece,West,Western democracies,Democracy,democracy_works_today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.22007250220013264,0.02352769468467471,3.835695440801294e-20,***,0.22***,1243
Greece,West,Western democracies,Democracy,democracy_works_today,pride_democracy,Pride in the way democracy works,0.7622562267267556,0.028424058758428065,6.422064083275526e-125,***,0.76***,1226
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_rights_liberal,ascriptive_membership,Closed/ascriptive national membership,-0.04361391661730529,0.03299813966962435,0.1865035053384381,,-0.04,1275
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_rights_liberal,civic_membership,Civic national membership,0.20834010593826235,0.032660717520070624,2.4937333393304956e-10,***,0.21***,1274
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_rights_liberal,national_superiority,National superiority and unconditional support,-0.06348861042196852,0.028857431434715152,0.027981907937844545,*,-0.06*,1269
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_rights_liberal,nation_state_self_determination,Every nation should have its own state,0.09136281379503508,0.037997570058989995,0.01634126485862501,*,0.09*,1263
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_rights_liberal,protective_sovereignty,Protectionist/sovereigntist nationalism,0.08934173792287936,0.01981623921491948,7.132380370591191e-06,***,0.09***,1273
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_rights_liberal,anti_immigrant_exclusion,Anti-immigrant exclusion,0.0037122492128442985,0.02223022159464301,0.8674036544617274,,0.00,1275
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_rights_liberal,national_pride_non_democracy,"National pride, excluding pride in democracy",0.055096974412782274,0.02546278567795366,0.030665332866286154,*,0.06*,1266
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_rights_liberal,pride_democracy,Pride in the way democracy works,-0.09555470394199705,0.03834763200340254,0.012839632332349657,*,-0.10*,1245
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_works_today,ascriptive_membership,Closed/ascriptive national membership,0.047334216011839736,0.03840143847596753,0.21794802471957453,,0.05,1272
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_works_today,civic_membership,Civic national membership,0.0917779241271246,0.03296557779292252,0.005448395769257156,**,0.09**,1271
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_works_today,national_superiority,National superiority and unconditional support,0.16957631754066504,0.03320023249924883,3.763795792604267e-07,***,0.17***,1266
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_works_today,nation_state_self_determination,Every nation should have its own state,-0.04708697248231619,0.044596803943801125,0.29124588726043577,,-0.05,1260
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_works_today,protective_sovereignty,Protectionist/sovereigntist nationalism,0.031591288051208366,0.0208775082785039,0.13048582594886418,,0.03,1269
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_works_today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.11207896668941508,0.02631475501665551,2.2036368336699107e-05,***,-0.11***,1272
