predictor,predictor_label,outcome,outcome_label,group_label,slope,se,p_value,sig,formatted_slope,p10_predictor,p90_predictor,p10_to_p90_change,change_se,change_p_value,change_sig,formatted_change,model_n,group_n
democracy_works_today,Perceived performance of democracy today,civic_membership,Civic national membership,Eastern Europe non-democracies,-0.022845310265745544,0.01928495629737525,0.23617611272765587,,-0.02,0.0,0.9,-0.02056077923917099,0.017356460667637724,0.23617611272765587,,-0.02,36717,1959
democracy_works_today,Perceived performance of democracy today,civic_membership,Civic national membership,East Asian democracies,0.10574544194228153,0.018396233654526962,9.090606763903306e-09,***,0.11***,0.3,0.8,0.05287272097114076,0.009198116827263481,9.090606763903306e-09,***,0.05***,36717,2558
democracy_works_today,Perceived performance of democracy today,civic_membership,Civic national membership,South/Southeast Asia non-democracies,0.03252373464005898,0.014227439801723453,0.022260726597111515,*,0.03*,0.2,0.9,0.022766614248041283,0.009959207861206416,0.022260726597111515,*,0.02*,36717,4083
democracy_works_today,Perceived performance of democracy today,civic_membership,Civic national membership,Other democracies,0.12551423186303923,0.01637139045473507,1.8084855409394592e-14,***,0.13***,0.0,0.8,0.10041138549043138,0.013097112363788056,1.8084855409394592e-14,***,0.10***,36717,4829
democracy_works_today,Perceived performance of democracy today,national_superiority,National superiority and unconditional support,Western democracies,0.13885628507290027,0.008122534175907357,2.8902856126726635e-65,***,0.14***,0.2,0.9,0.09719939955103019,0.00568577392313515,2.8902856126726635e-65,***,0.10***,36649,19398
democracy_works_today,Perceived performance of democracy today,national_superiority,National superiority and unconditional support,Eastern Europe democracies,0.17635256889525786,0.01701814046919995,3.9733108216343756e-25,***,0.18***,0.2,0.8,0.10581154133715473,0.010210884281519972,3.9733108216343756e-25,***,0.11***,36649,3850
democracy_works_today,Perceived performance of democracy today,national_superiority,National superiority and unconditional support,Eastern Europe non-democracies,0.25641657058545575,0.023279138438722983,3.5879713642237095e-28,***,0.26***,0.0,0.9,0.23077491352691018,0.020951224594850684,3.5879713642237095e-28,***,0.23***,36649,1958
democracy_works_today,Perceived performance of democracy today,national_superiority,National superiority and unconditional support,East Asian democracies,0.22250519789026324,0.01893947424695652,8.2264498286986e-32,***,0.22***,0.3,0.8,0.11125259894513162,0.00946973712347826,8.2264498286986e-32,***,0.11***,36649,2557
democracy_works_today,Perceived performance of democracy today,national_superiority,National superiority and unconditional support,South/Southeast Asia non-democracies,-0.0002443509816100198,0.016138591890356366,0.9879199439028935,,-0.00,0.2,0.9,-0.00017104568712701383,0.011297014323249456,0.9879199439028935,,-0.00,36649,4061
democracy_works_today,Perceived performance of democracy today,national_superiority,National superiority and unconditional support,Other democracies,0.18245713703197391,0.0165919116134372,4.383702709100738e-28,***,0.18***,0.0,0.8,0.14596570962557914,0.013273529290749762,4.383702709100738e-28,***,0.15***,36649,4825
democracy_works_today,Perceived performance of democracy today,nation_state_self_determination,Every nation should have its own state,Western democracies,-0.07202173296265446,0.011986394263692468,1.889459711662867e-09,***,-0.07***,0.2,0.9,-0.05041521307385812,0.008390475984584728,1.889459711662867e-09,***,-0.05***,35116,18219
democracy_works_today,Perceived performance of democracy today,nation_state_self_determination,Every nation should have its own state,Eastern Europe democracies,0.009339570984205015,0.020583067943727506,0.6500114454963366,,0.01,0.2,0.8,0.00560374259052301,0.012349840766236506,0.6500114454963366,,0.01,35116,3784
democracy_works_today,Perceived performance of democracy today,nation_state_self_determination,Every nation should have its own state,Eastern Europe non-democracies,0.0033108640953543045,0.028823548847638648,0.9085514880497949,,0.00,0.0,0.9,0.002979777685818874,0.025941193962874785,0.9085514880497949,,0.00,35116,1903
democracy_works_today,Perceived performance of democracy today,nation_state_self_determination,Every nation should have its own state,East Asian democracies,0.08230667707661588,0.02516281912424443,0.001072849274375597,**,0.08**,0.3,0.8,0.04115333853830794,0.012581409562122215,0.001072849274375597,**,0.04**,35116,2523
democracy_works_today,Perceived performance of democracy today,nation_state_self_determination,Every nation should have its own state,South/Southeast Asia non-democracies,-0.03275859597175035,0.020259276261802305,0.10589423877390564,,-0.03,0.2,0.9,-0.022931017180225242,0.014181493383261613,0.10589423877390572,,-0.02,35116,3979
democracy_works_today,Perceived performance of democracy today,nation_state_self_determination,Every nation should have its own state,Other democracies,0.019754248359806215,0.021543822346368702,0.35918389116541655,,0.02,0.0,0.8,0.01580339868784497,0.01723505787709496,0.35918389116541655,,0.02,35116,4708
democracy_works_today,Perceived performance of democracy today,protective_sovereignty,Protectionist/sovereigntist nationalism,Western democracies,-0.12219493408516535,0.006757767691739161,9.126766554824095e-73,***,-0.12***,0.2,0.9,-0.08553645385961574,0.004730437384217413,9.126766554824095e-73,***,-0.09***,36746,19462
democracy_works_today,Perceived performance of democracy today,protective_sovereignty,Protectionist/sovereigntist nationalism,Eastern Europe democracies,-0.02299740024871011,0.012892758059815842,0.0744732742406878,,-0.02,0.2,0.8,-0.013798440149226068,0.007735654835889507,0.0744732742406878,,-0.01,36746,3856
democracy_works_today,Perceived performance of democracy today,protective_sovereignty,Protectionist/sovereigntist nationalism,Eastern Europe non-democracies,0.05494684884065015,0.017716743305036375,0.001927486723559737,**,0.05**,0.0,0.9,0.04945216395658514,0.01594506897453274,0.001927486723559737,**,0.05**,36746,1961
democracy_works_today,Perceived performance of democracy today,protective_sovereignty,Protectionist/sovereigntist nationalism,East Asian democracies,0.04569000285302893,0.013290563191944474,0.0005871590449617914,***,0.05***,0.3,0.8,0.022845001426514466,0.006645281595972237,0.0005871590449617914,***,0.02***,36746,2558
democracy_works_today,Perceived performance of democracy today,protective_sovereignty,Protectionist/sovereigntist nationalism,South/Southeast Asia non-democracies,-0.005991618527890097,0.009877077765514027,0.544107842774683,,-0.01,0.2,0.9,-0.0041941329695230675,0.006913954435859819,0.544107842774683,,-0.00,36746,4084
democracy_works_today,Perceived performance of democracy today,protective_sovereignty,Protectionist/sovereigntist nationalism,Other democracies,0.06071056229390448,0.012002530112378581,4.253866025243187e-07,***,0.06***,0.0,0.8,0.04856844983512359,0.009602024089902865,4.253866025243187e-07,***,0.05***,36746,4825
democracy_works_today,Perceived performance of democracy today,anti_immigrant_exclusion,Anti-immigrant exclusion,Western democracies,-0.1852242751050266,0.008579385730662295,9.841450924127333e-103,***,-0.19***,0.2,0.9,-0.12965699257351862,0.006005570011463606,9.841450924127333e-103,***,-0.13***,36765,19492
democracy_works_today,Perceived performance of democracy today,anti_immigrant_exclusion,Anti-immigrant exclusion,Eastern Europe democracies,-0.1545919841247998,0.015429714147155807,1.3471665244154566e-23,***,-0.15***,0.2,0.8,-0.09275519047487989,0.009257828488293486,1.3471665244154566e-23,***,-0.09***,36765,3860
democracy_works_today,Perceived performance of democracy today,anti_immigrant_exclusion,Anti-immigrant exclusion,Eastern Europe non-democracies,-0.11612004720136282,0.02054016497196473,1.5854694743927852e-08,***,-0.12***,0.0,0.9,-0.10450804248122654,0.018486148474768257,1.5854694743927852e-08,***,-0.10***,36765,1960
democracy_works_today,Perceived performance of democracy today,anti_immigrant_exclusion,Anti-immigrant exclusion,East Asian democracies,-0.06103676963926519,0.014679391024424523,3.2178720710879223e-05,***,-0.06***,0.3,0.8,-0.030518384819632594,0.007339695512212262,3.2178720710879223e-05,***,-0.03***,36765,2558
democracy_works_today,Perceived performance of democracy today,anti_immigrant_exclusion,Anti-immigrant exclusion,South/Southeast Asia non-democracies,-0.057477443188734156,0.011287124067342516,3.5548803797454565e-07,***,-0.06***,0.2,0.9,-0.040234210232113904,0.007900986847139762,3.554880379745468e-07,***,-0.04***,36765,4075
democracy_works_today,Perceived performance of democracy today,anti_immigrant_exclusion,Anti-immigrant exclusion,Other democracies,-0.04436203651871928,0.015731607164810122,0.004805979953228979,**,-0.04**,0.0,0.8,-0.03548962921497543,0.012585285731848098,0.004805979953228979,**,-0.04**,36765,4820
democracy_works_today,Perceived performance of democracy today,national_pride_non_democracy,"National pride, excluding pride in democracy",Western democracies,0.2877771122682222,0.007248026620279577,0.0,***,0.29***,0.2,0.9,0.20144397858775553,0.005073618634195704,0.0,***,0.20***,36644,19381
